,tags_overall,f1-score,precision,recall,support,model_name,model_type
44,SYM,0.8985507246376813,0.9393939393939394,0.8611111111111112,468.0,crf-baseline-fold02-seed29.joblib,crf-baseline
45,UH,0.0,0.0,0.0,8.0,crf-baseline-fold02-seed29.joblib,crf-baseline
46,VB,0.6936617058245826,0.6700233508464681,0.7190289741581832,6385.0,crf-baseline-fold02-seed29.joblib,crf-baseline
47,WH,0.032786885245901634,0.2,0.017857142857142856,56.0,crf-baseline-fold02-seed29.joblib,crf-baseline
48,X,0.08108108108108109,0.6,0.043478260869565216,69.0,crf-baseline-fold02-seed29.joblib,crf-baseline
49,Z,0.991894439208294,0.9885402968250986,0.9952714204652924,5287.0,crf-baseline-fold02-seed29.joblib,crf-baseline
50,fw,0.0,0.0,0.0,0.0,crf-baseline-fold02-seed29.joblib,crf-baseline
51,macro avg,0.4795976849734966,0.5662938783863345,0.4514176061877295,51728.0,crf-baseline-fold02-seed29.joblib,crf-baseline
52,micro avg,0.7279423136405816,0.7279423136405815,0.7279423136405815,51728.0,crf-baseline-fold02-seed29.joblib,crf-baseline
53,weighted avg,0.7188414887955041,0.7186192378465648,0.7279423136405815,51728.0,crf-baseline-fold02-seed29.joblib,crf-baseline
54,CC,0.2762527233115468,0.3880048959608323,0.2144790257104195,1478.0,crf-baseline-fold03-seed02.joblib,crf-baseline
55,CD,0.8445739257101238,0.8784848484848485,0.8131837307152875,3565.0,crf-baseline-fold03-seed02.joblib,crf-baseline
56,DT,0.4504504504504505,0.4901960784313725,0.4166666666666667,60.0,crf-baseline-fold03-seed02.joblib,crf-baseline
57,FW,0.5657071339173967,0.7661016949152543,0.4484126984126984,504.0,crf-baseline-fold03-seed02.joblib,crf-baseline
58,IN,0.6278888020542592,0.6003415883859948,0.6580856541071847,4273.0,crf-baseline-fold03-seed02.joblib,crf-baseline
59,JJ,0.3966244725738397,0.5244635193133047,0.3188935281837161,1916.0,crf-baseline-fold03-seed02.joblib,crf-baseline
